event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Keywords updated,21:8:29,,,,,,,cit_ visual_ map_ publi|literat
Pub added,21:8:29,10.1109/tvcg.2015.2467757,Unknown title with doi 10.1109/tvcg.2015.2467757,undefined,,,
Pub added,21:8:29,10.1109/tvcg.2015.2467621,Unknown title with doi 10.1109/tvcg.2015.2467621,undefined,,,
Pub added,21:8:29,10.1002/asi.24171,Unknown title with doi 10.1002/asi.24171,undefined,,,
Pub added,21:8:29,10.2312/evp.20221110,Unknown title with doi 10.2312/evp.20221110,undefined,,,
Update,21:8:29,,,,,,,4
Pub suggested,21:8:29,10.1002/asi.20317,CiteSpace II: Detecting and visualizing emerging trends and transient patterns in scientific literature,Chen,4,1,
Pub suggested,21:8:29,10.1109/tvcg.2016.2610422,A Survey on Visual Approaches for Analyzing Scientific Literature and Patents,Federico et al.,4,2,
Pub suggested,21:8:29,10.1007/s12650-023-00941-3,LitVis: a visual analytics approach for managing and exploring literature,Tian et al.,4,3,
Pub suggested,21:8:29,10.1007/s11192-021-03959-2,RelPath: an interactive tool to visualize branches of studies and quantify the expertise of authors by citation paths,Guilarte et al.,4,4,
Pub suggested,21:8:29,10.1007/s12650-020-00688-1,VIStory: interactive storyboard for exploring visual information in scientific publications,Zeng et al.,4,5,
Pub suggested,21:8:29,10.23919/fusion52260.2023.10224157,Co-embedding Multi-type Data for Information Fusion and Visual Analytics,Choi et al.,4,6,
Pub suggested,21:8:29,10.1145/3399715.3399830,Understanding and Supporting Academic Literature Review Workflows with LitSense,Sultanum et al.,4,7,
Pub suggested,21:8:29,10.1109/tvcg.2016.2598667,Cite2vec: Citation-Driven Document Exploration via Word Embeddings,Berger et al.,4,8,
Pub suggested,21:8:29,10.1002/asi.22652,Rapid understanding of scientific paper collections: Integrating statistics, text analytics, and visualization,Dunne et al.,4,9,
Pub suggested,21:8:29,10.1093/iwc/iwad019,Evaluating Visual Analytics for Relevant Information Retrieval in Document Collections,da Silva et al.,4,10,
Pub suggested,21:8:29,10.1145/3576840.3578309,How Data Scientists Review the Scholarly Literature,Mysore et al.,4,11,
Pub suggested,21:8:29,10.1109/tvcg.2022.3209434,MedChemLens: an Interactive Visual Tool to Support Direction Selection in Interdisciplinary Experimental Research of Medicinal Chemistry,Shi et al.,4,12,
Pub suggested,21:8:29,10.1145/3531073.3534466,VisualBib(va): a Visual Analytics Platform for Authoring and Reviewing Bibliographies,Dattolo et al.,4,13,
Pub suggested,21:8:29,10.1109/access.2022.3153027,Authoring and Reviewing Bibliographies: Design and Development of a Visual Analytics Online Platform,Dattolo et al.,4,14,
Pub suggested,21:8:29,10.1016/j.cag.2022.02.005,Exploring scientific literature by textual and image content using DRIFT,Pocco et al.,4,15,
Pub suggested,21:8:29,10.1145/3406522.3446037,Visually Linked Keywords to Support Exploratory Browsing,Shukla and Hoeber,4,16,
Pub suggested,21:8:29,10.1109/tvcg.2018.2873011,Topic-Based Exploration and Embedded Visualizations for Research Idea Generation,Guo and Laidlaw,4,17,
Pub suggested,21:8:29,10.1109/access.2019.2929754,Cross-Domain Visual Exploration of Academic Corpora via the Latent Meaning of User-Authored Keywords,Benito-Santos and Theron Sanchez,4,18,
